Var1,Var2
"ai,guo,yi,jia","爱国一家"
"ai,guo,zhe","爱国者"
"ai,guo,zhu,yi","爱国主义"
"ai,hao","爱好,哀号,哀嚎,艾蒿"
"ai,hao,zhe","爱好者"
"ai,he","爱河"
"ai,hong","哀鸿"
"ai,hong,bian,ye","哀鸿遍野"
"ai,hu","爱护,挨户"
"ai,hui,gu,li","哀毁骨立"
"ai,ji","埃及,挨挤"
"ai,jia","挨家"
"ai,jia,ai,hu","挨家挨户"
"ai,jian","挨肩"
"ai,jian,er","挨肩儿"
"ai,jiang","爱将"
"ai,jiao","哀叫"
"ai,jin","挨近,哀矜"
"ai,kao","挨靠"
"ai,ke,si,guang","爱克斯光"
"ai,ke,si,she,xian","爱克斯射线"
"ai,ken","哀恳"
"ai,kou","隘口,碍口"
"ai,ku","哀哭"
"ai,kuo,san","癌扩散"
"ai,li,bu,li","爱理不理"
"ai,lian","爱恋,爱怜,哀怜"
"ai,liu","癌瘤"
"ai,lu","隘路"
"ai,lv","爱侣"
"ai,ma","挨骂"
"ai,mei","爱美,暧昧"
"ai,men","挨门"
"ai,men,ai,hu","挨门挨户"
"ai,mi,er","埃米尔"
"ai,mian,zi","爱面子,碍面子"
"ai,min","爱民"
"ai,ming","哀鸣"
"ai,mo","癌魔"
"ai,mo,da,yu,xin,si","哀莫大于心死"
"ai,mo,neng,zhu","爱莫能助"
"ai,mu","爱慕"
"ai,nan","碍难"
"ai,nv","爱女"
"ai,pang","矮胖"
"ai,pi","挨批"
"ai,qi","爱妻,嗳气,哀泣,哀戚"
"ai,qie","哀切"
"ai,qin,hai","爱琴海"
"ai,qing","爱情,爱卿,艾青"
"ai,qing,yuan,yi","爱情愿意"
"ai,qiu","哀求"
"ai,quan","爱犬"
"ai,ran","蔼然"
"ai,ren","爱人,矮人"
"ai,ren,er","爱人儿"
"ai,rong","哀荣,艾绒"
"ai,sai,e,bi,ya","埃塞俄比亚"
"ai,sen,hao,wei,er","艾森豪威尔"
"ai,sha,ni,ya","爱沙尼亚"
"ai,shang","爱上,哀伤"
"ai,shen","爱神"
"ai,sheng,tan,qi","唉声叹气"
"ai,shi","碍事"
"ai,shou","碍手"
"ai,shou,ai,jiao","碍手碍脚"
"ai,si","哀思"
"ai,si,ji,mo","爱斯基摩"
"ai,si,ji,mo,ren","爱斯基摩人"
"ai,su","哀诉"
"ai,suan","嗳酸"
"ai,tan","哀叹"
"ai,ti","哀啼"
"ai,tong","哀痛,哀恸,癌痛"
"ai,wan","哀婉"
"ai,wei,hui","爱委会,爱卫会"
"ai,wo,wo","艾窝窝"
"ai,wu,ji,wu","爱屋及乌"
"ai,xi","爱惜"
"ai,xi,bao","癌细胞"
"ai,xiao","矮小"
"ai,xin","爱心"
"ai,xing","矮星"
"ai,ya","哎呀,唉呀"
"ai,ya,ri","爱牙日"
"ai,yan","碍眼,哀艳"
"ai,yi","爱意"
"ai,yin,si,tan","爱因斯坦"
"ai,yo","哎哟"
"ai,yuan","哀怨"
"ai,yue","哀乐"
"ai,zeng","爱憎"
"ai,zeng,fen,ming","爱憎分明"
"ai,zhe","挨着"
"ai,zhe,tu,di","爱这土地"
"ai,zheng","癌症,挨整"
"ai,zhong","癌肿"
"ai,zi","爱子,矮子,哀子"
"ai,zi,bing","艾滋病"
"ai,zi,li,xuan,jiang,jun","矮子里选将军"
"ai,zou","挨揍"
"an","安,按,案,暗,岸,俺,鞍,氨,胺,庵,黯,铵,谙,鹌"
"an,an","暗暗"
"an,an,jing,jing","安安静静"
"an,an,wen,wen","安安稳稳"
"an,an,xin,xin","安安心心"
"an,ba","暗坝"
"an,ban","案板"
"an,bang,ding,guo","安邦定国"
"an,bao","暗堡"
"an,bi","鞍鼻"
"an,bian","岸边"
"an,biao","岸标"
"an,bing,bu,dong","按兵不动"
"an,bu","安瓿,暗补"
"an,bu,dang,che","安步当车"
"an,bu,jiu,ban","按部就班"
"an,cang","暗藏"
"an,cha","安插"
"an,cha,jian","氨茶碱"
"an,chang","暗娼,暗场"
"an,chao","暗潮"
"an,chen,chen","暗沉沉"
"an,cheng","案秤"
"an,chu","暗处"
"an,chun","鹌鹑"
"an,ci,pin","按词频"
"an,cuo","安厝"
"an,dan","暗淡,黯淡"
"an,dao","暗道"
"an,dao,er","安道尔"
"an,di","暗地,案底"
"an,di,li","暗地里"
"an,di,si,shan","安第斯山"
"an,di,si,shan,mai","安第斯山脉"
"an,ding","安定"
"an,ding,tuan,jie","安定团结"
"an,ding,zi","安钉子"
"an,dong","暗洞"
"an,du","案牍,安堵"
"an,du,chen,cang","暗度陈仓"
"an,dun","安顿"
"an,fa","案发"
"an,fan","案犯"
"an,fang","暗访,安放,暗房"
"an,fen","安分"
"an,fen,shou,ji","安分守己"
"an,feng","暗讽"
"an,fu","安抚"
"an,gang","鞍钢"
"an,gang,xian,fa","鞍钢宪法"
"an,ge,la","安哥拉"
"an,gou","暗沟"
"an,hai","暗害"
"an,han","暗含"
"an,hao","暗号,安好"
"an,he","暗合,暗河,暗盒"
"an,hei","暗黑"
"an,hong","暗红"
"an,hua","氨化,暗花"
"an,hua,er","暗花儿"
"an,hui","安徽,暗灰"
"an,hui,sheng","安徽省"
"an,hun,qu","安魂曲"
"an,huo","暗火"
"an,ji","氨基,暗疾,暗记,案几"
"an,ji,er","暗记儿"
"an,ji,suan","氨基酸"
"an,jia","安家"
"an,jia,fei","安家费"
"an,jia,li,ye","安家立业"
"an,jia,luo,hu","安家落户"
"an,jian","案件,按键,安检,暗箭,鞍鞯"
"an,jian,er","暗间儿"
"an,jian,shang,ren","暗箭伤人"
"an,jiao","暗礁"
"an,jie","按揭"
"an,jing","安静"
"an,ju","安居"
"an,ju,le,ye","安居乐业"
"an,juan","案卷"
"an,ka,la","安卡拉"
"an,kang","安康"
"an,kou,er","按扣儿"
"an,la","安拉"
"an,lan","安澜"
"an,lao,fen,pei","按劳分配"
"an,lao,fu,chou","按劳付酬"
"an,lao,qu,chou","按劳取酬"
"an,le","安乐"
"an,le,si","安乐死"
"an,le,wo","安乐窝"
"an,le,yi","安乐椅"
"an,li","案例,按理,暗里,按例"
"an,li,hui","安理会"
"an,lian","暗恋,谙练"
"an,liu","暗流"
"an,ma","鞍马,暗码"
"an,ma,lao,dun","鞍马劳顿"
"an,mai","按脉"
"an,mei","暗昧"
"an,men,zi","暗门子"
"an,mi","安谧"
"an,mian","安眠"
"an,mian,yao","安眠药"
"an,min","安民"
"an,min,gao,shi","安民告示"
"an,mo","按摩"
"an,na","按捺"
"an,ning","安宁"
"an,niu","按钮"
"an,pai","安排"
"an,pai,de","安排得"
"an,pai,shi,su","安排食宿"
"an,pan","暗盘"
"an,pao","岸炮"
"an,pei","安培,鞍辔"
"an,pei,ji","安培计"
"an,pin,le,dao","安贫乐道"
"an,qi","按期,暗器,氨气"
"an,qi,er","安琪儿"
"an,qian,ma,hou","鞍前马后"
"an,qin","安寝"
"an,qing","案情,安庆"
"an,qu","暗渠"
"an,quan","安全"
"an,quan,bao,mi","安全保密"
"an,quan,bo,li","安全玻璃"
"an,quan,bu","安全部"
"an,quan,cuo,shi","安全措施"
"an,quan,dai","安全带"
"an,quan,dao","安全岛"
"an,quan,deng","安全灯"
"an,quan,dian,ya","安全电压"
"an,quan,fa","安全阀"
"an,quan,gan","安全感"
"an,quan,huo,chai","安全火柴"
"an,quan,jian,cha","安全检查"
"an,quan,li,shi,hui","安全理事会"
"an,quan,mao","安全帽"
"an,quan,men","安全门"
"an,quan,sheng,chan","安全生产"
"an,quan,xi,shu","安全系数"
"an,quan,xian","安全线"
"an,quan,xing","安全性"
"an,ran","安然,黯然,岸然"
"an,ran,shen,shang","黯然神伤"
"an,ran,shi,se","黯然失色"
"an,ran,wu,shi","安然无事"
"an,ran,wu,yang","安然无恙"
"an,ran,xiao,hun","黯然销魂"
"an,ru,pan,shi","安如磐石"
"an,ru,tai,shan","安如泰山"
"an,ruo","暗弱"
"an,sha","暗杀,暗沙"
"an,shan","鞍山"
"an,shang","岸上,安上,暗伤"
"an,shao","暗哨"
"an,she","安设,暗射"
"an,shen","安神,安身"
"an,shen,li,ming","安身立命"
"an,shen,zhi,di","安身之地"
"an,sheng","安生"
"an,shi","按时,暗示,暗室,安适"
"an,shi,zhi,luan","安史之乱"
"an,shou,ben,fen","安守本分"
"an,shu","桉树,谙熟"
"an,shui","氨水,安睡"
"an,shun","安顺"
"an,shuo","按说"
"an,song,qiu,bo","暗送秋波"
"an,suan","暗算"
"an,suo","暗锁"
"an,tai","安泰"
"an,tan","暗探,暗滩"
"an,tang","庵堂"
"an,tian","安恬"
"an,tou","案头"
"an,tu,suo,ji","按图索骥"
"an,tu,zhong,qian","安土重迁"
"an,tuo","安妥"
"an,wei","安慰,安危"
"an,wei,yu,gong","安危与共"
"an,wen","安稳"
"an,wo","安卧"
"an,wu,tian,ri","暗无天日"
"an,xi","暗喜,安息"
"an,xi,xiang","安息香"
"an,xia","暗下,暗匣"
"an,xia,hu,lu,fu,qi,piao","按下葫芦浮起瓢"
"an,xian","安闲,暗线"
"an,xiang","暗箱,安详,暗想,安享"
"an,xiao","暗笑"
"an,xie","安歇"
"an,xin","安心"
"an,xu,fen,pei","按需分配"
"an,ya","按压"
"an,yan","铵盐"
"an,yang","安阳"
"an,ye","暗夜"
"an,ye,li","暗夜里"
"an,ye,li,kai,zhan","暗夜里开绽"
"an,yi","安逸"
"an,ying","暗影,安营"
"an,ying,zha,zhai","安营扎寨"
"an,you","案由"
"an,yu","安于,按语,暗语,暗喻"
"an,yu,xian,zhuang","安于现状"
"an,yuan","安源"
"an,zang","安葬"
"an,zha","安扎"
"an,zhao","按照"
"an,zhen","安枕"
"an,zhi","安置,案值"
"an,zhi,ban","安置办"
"an,zhi,lun,jia","按质论价"
"an,zhong","暗中"
"an,zhong,mo,suo","暗中摸索"
"an,zhuan","暗转"
"an,zhuang","安装"
"an,zi","案子,暗自,鞍子"
"ang","昂,肮,盎"
"ang,ang","昂昂"
"ang,cang","昂藏"
"ang,fen","昂奋"
"ang,gui","昂贵"
"ang,qi","昂起"
"ang,ran","盎然,昂然"
"ang,shou","昂首"
"ang,shou,kuo,bu","昂首阔步"
"ang,shou,ting,xiong","昂首挺胸"
"ang,si","盎司"
"ang,yang","昂扬"
"ang,zang","肮脏"
"ao","奥,澳,傲,熬,敖,凹,袄,懊,翱,嗷,坳,遨,獒"
"ao,an","傲岸"
"ao,an,bu,qun","傲岸不群"
"ao,ao","嗷嗷"
"ao,ao,dai,bu","嗷嗷待哺"
"ao,ao,jiao","嗷嗷叫"
"ao,ban","凹版"
"ao,bao","敖包"
"ao,bing","鏖兵"
"ao,bo","奥博"
"ao,da,li,ya","澳大利亚"
"ao,de,sa","敖德萨"
"ao,di,li","奥地利"
"ao,gu","傲骨"
"ao,hen","懊恨"
"ao,hui","懊悔"
"ao,jian","熬煎"
"ao,jin","凹进"
"ao,jing","凹镜"
"ao,kang","澳抗"
"ao,kou","拗口"
"ao,kou,ling","拗口令"
"ao,lin,pi,ke","奥林匹克"
"ao,lin,pi,ke,yun,dong,hui","奥林匹克运动会"
"ao,man","傲慢"
"ao,men","澳门"
"ao,mi","奥秘"
"ao,mian","凹面"
"ao,mian,jing","凹面镜"
"ao,miao","奥妙"
"ao,nao","懊恼"
"ao,qi","傲气"
"ao,ran","傲然"
"ao,ran,ting,li","傲然挺立"
"ao,ran,yi,li","傲然屹立"
"ao,ri,zi","熬日子"
"ao,sang","懊丧"
"ao,shen,wei","奥申委"
"ao,shi","傲视,傲世"
"ao,shuang","傲霜"
"ao,si,ka","奥斯卡"
"ao,si,lu","奥斯陆"
"ao,si,ting","奥斯汀"
"ao,tou","鳌头"
"ao,tou,er","熬头儿"
"ao,tou,jing","凹透镜"
"ao,tu","凹凸"
"ao,tu,bu,ping","凹凸不平"
"ao,wei,hui","奥委会"
"ao,wu","傲物"
"ao,xia","凹下"
"ao,xian","凹陷"
"ao,xiang","翱翔"
"ao,yao","熬药"
"ao,ye","熬夜"
"ao,you","遨游,熬油"
"ao,yuan","奥援"
"ao,yun","奥运"
"ao,yun,cun","奥运村"
"ao,yun,hui","奥运会"
"ao,zhan","鏖战"
"ao,zhou","澳洲,熬粥"
"ba","把,八,吧,巴,罢,爸,拔,霸,坝,叭,跋,扒,疤,笆,靶,芭,捌,鲅"
"ba,ba","爸爸,粑粑"
"ba,bai","捌佰"
"ba,bai,zhi,jiao","八拜之交"
"ba,bao,cai","八宝菜"
"ba,bao,fan","八宝饭"
"ba,bao,shan","八宝山"
"ba,bei,zi","八辈子"
"ba,bi","罢笔"
"ba,bi,lun","巴比伦"
"ba,bi,te,he,jin","巴比特合金"
"ba,bi,tuo","巴比妥"
"ba,biao","靶标"
"ba,bing","把柄"
"ba,bu,de","巴不得"
"ba,cao","拔草"
"ba,chang","靶场"
"ba,che","扒车"
"ba,cheng","八成"
"ba,chi","把持"
"ba,chu","拔除,罢黜"
"ba,chu,bai,jia","罢黜百家"
"ba,da","吧嗒"
"ba,da,ling","八达岭"
"ba,dao","霸道"
"ba,dao,xiang,zhu","拔刀相助"
"ba,di","坝地,拔地"
"ba,di,er,qi","拔地而起"
"ba,diao","拔掉"
"ba,dou","巴豆,笆斗"
"ba,dou,cai","八斗才"
"ba,duo","把舵"
"ba,er","把儿"
"ba,er,gan","巴尔干"
"ba,er,gan,ban,dao","巴尔干半岛"
"ba,er,gou","叭儿狗,巴儿狗"
"ba,er,ka,shi,hu","巴尔喀什湖"
"ba,er,zha,ke","巴尔扎克"
"ba,fang","八方"
"ba,fang,hu,ying","八方呼应"
"ba,fang,zhi,yuan","八方支援"
"ba,fen,shu","八分书"
"ba,fen,yin,fu","八分音符"
"ba,feng","把风"
"ba,fu,luo,fu","巴甫洛夫"
"ba,gan,zi,da,bu,zhao","八竿子打不着"
"ba,gao","拔高"
"ba,ge","八哥"
"ba,ge,da","巴格达"
"ba,ge,er","八哥儿"
"ba,gong","罢工"
"ba,gu","八股"
"ba,gu,wen","八股文"
"ba,gua","八卦"
"ba,gua,jiao","八卦教"
"ba,gua,zhang","八卦掌"
"ba,gua,zhen","八卦阵"
"ba,guan","把关,罢官"
"ba,guan,zi","拔罐子"
"ba,guo,lian,jun","八国联军"
"ba,hang,shu","八行书"
"ba,he","拔河"
"ba,hen","疤痕"
"ba,hu","跋扈"
"ba,huo,guan","拔火罐"
"ba,ji","坝基,吧唧,靶机"
"ba,ji,gong,zi,zhi","八级工资制"
"ba,ji,si,tan","巴基斯坦"
"ba,jian","拔尖,拔剑"
"ba,jian,er","拔尖儿"
"ba,jian,ren,cai","拔尖人才"
"ba,jiao","芭蕉,拔脚,罢教,八角"
"ba,jiao,er","把角儿"
"ba,jiao,mao","八角帽"
"ba,jiao,shan","芭蕉扇"
"ba,jiao,xing","八角形"
"ba,jie","八节,巴结,拔节,巴解"
"ba,jie,zu,zhi","巴解组织"
"ba,jin","巴金"
"ba,jin,ba,liang","八斤八两"
"ba,jin,zhi","八进制"
"ba,jiu","把酒"
"ba,jiu,bu,li,shi","八九不离十"
"ba,kai","扒开"
"ba,ke","罢课"
"ba,kou,er","把口儿"
"ba,la","扒拉,疤瘌"
"ba,la,gui","巴拉圭"
"ba,la,yan,er","疤瘌眼儿"
"ba,lan","把揽"
"ba,le","罢了"
"ba,le,si,tan","巴勒斯坦"
"ba,lei","芭蕾"
"ba,lei,wu","芭蕾舞"
"ba,li","耙犁,巴黎"
"ba,li,gong,she","巴黎公社"
"ba,li,lv","巴黎绿"
"ba,li,tong,chou,wei,yuan,hui","巴黎统筹委员会"
"ba,li,zi","笆篱子"
"ba,lin","巴林"
"ba,lou","笆篓"
"ba,lu","八路"
"ba,lu,jun","八路军"
"ba,lun","罢论"
"ba,mai","把脉"
"ba,mao","拔锚"
"ba,men","把门"
"ba,mian","罢免,八面"
"ba,mian,feng","八面锋"
"ba,mian,guang","八面光"
"ba,mian,ling,long","八面玲珑"
"ba,mian,quan","罢免权"
"ba,mian,wei,feng","八面威风"
"ba,miao,zhu,zhang","拔苗助长"
"ba,na,ma","巴拿马"
"ba,na,ma,cheng","巴拿马城"
"ba,na,ma,yun,he","巴拿马运河"
"ba,nv","吧女"
"ba,pi","扒皮"
"ba,qi","霸气,八旗"
"ba,qi,zi,di","八旗子弟"
"ba,qian","捌千"
"ba,qu","拔取"
"ba,quan","霸权"
"ba,quan,zhu,yi","霸权主义"
"ba,qun","拔群"
"ba,sai","罢赛"
"ba,sai,luo,na","巴塞罗那"
"ba,shan,she,shui","跋山涉水"
"ba,she","跋涉"
"ba,shi","巴士,把式,罢市,把势,捌拾"
"ba,shou","把手,把守,罢手"
"ba,si","拔丝"
"ba,song","巴松"
"ba,ta","把它"
"ba,tai","靶台"
"ba,tai,da,jiao","八抬大轿"
"ba,tian","坝田"
"ba,tou","把头"
"ba,tui","拔腿"
"ba,wan","把玩,捌万"
"ba,wang","霸王,巴望"
"ba,wang,bian","霸王鞭"
"ba,wang,bie,ji","霸王别姬"
"ba,wei,zi","把位子"
"ba,wen","把稳,跋文"
"ba,wo","把握"
"ba,wu","巴乌,把晤"
"ba,wu,ji,hua","八五计划"
"ba,xi","巴西,把戏"
"ba,xi,gong,si","巴西公司"
"ba,xi,li,ya","巴西利亚"
"ba,xian","八仙"
"ba,xian,guo,hai","八仙过海"
"ba,xian,zhuo","八仙桌"
"ba,xin","靶心"
"ba,xiong","把兄"
"ba,xiong,di","把兄弟"
"ba,xiu","罢休"
"ba,yan","罢演"
"ba,yang,chan,pin","八样产品"
"ba,ye","霸业"
"ba,yi","八一"
"ba,yi,chang","八一厂"
"ba,yi,jian,jun,jie","八一建军节"
"ba,yi,nan,chang,qi,yi","八一南昌起义"
"ba,yin","八音"
"ba,yin,he","八音盒"
"ba,yu","鲅鱼"
"ba,yue","八月"
"ba,yue,jie","八月节"
"ba,yue,zhong,qiu","八月中秋"
"ba,zhai","把斋"
"ba,zhan","霸占,把盏"
"ba,zhang","巴掌"
"ba,zhen","八珍"
"ba,zhi","坝址,罢职"
"ba,zhu","霸主"
"ba,zhuo","拔擢"
"ba,zi","八字,靶子,把子,坝子"
"ba,zi,bu","八字步"
"ba,zi,fang,zhen","八字方针"
"ba,zi,hu","八字胡"
"ba,zi,jiao","八字脚"
"ba,zi,mei","八字眉"
"ba,zi,mei,yi,pie","八字没一撇"
"bai","百,白,拜,败,摆,柏,稗,佰,掰,稗,捭"
"bai,ai,ai","白皑皑"
"bai,ai,xing","白矮星"
"bai,an","白案"
"bai,ba,xiong,di","拜把兄弟"
"bai,ba,zi","拜把子"
"bai,bai","白白,拜拜"
"bai,ban","白板,百般,白斑,白班,白版"
"bai,ban,bing","白斑病"
"bai,ban,diao,nan","百般刁难"
"bai,ban,er","白班儿"
"bai,ban,wu,nai","百般无奈"
"bai,bao,xiang","百宝箱"
"bai,bao,zhi","白报纸"
"bai,bei","百倍,败北"
"bai,bi","败笔"
"bai,bi,wei,xia","白璧微瑕"
"bai,bi,wu,xia","白璧无瑕"
"bai,bie","拜别"
"bai,bing","百病,败兵"
"bai,bu","摆布,白布,白醭"
"bai,bu,chuan,yang","百步穿杨"
"bai,cai","白菜"
"bai,cao","百草,稗草,败草"
"bai,cha","白茶,白茬"
"bai,chan","拜忏"
"bai,chi","白痴,白吃,白炽"
"bai,chi,deng","白炽灯"
"bai,chi,dian,deng","白炽电灯"
"bai,chi,gan,tou","百尺竿头"
"bai,chu","百出"
"bai,chuan,gui,hai","百川归海"
"bai,chun,lu","白唇鹿"
"bai,ci","白瓷,拜辞"
"bai,cu","白醋"
"bai,da","白搭"
"bai,dai","白带"
"bai,dan,bai","白蛋白"
"bai,dao","拜倒,白道"
"bai,de","白地"
"bai,di,cheng","白帝城"
"bai,dian","白点"
"bai,dian,feng","白癜风"
"bai,ding","白丁"
"bai,dong","摆动"
"bai,du","拜读,摆渡,败毒"
"bai,du,bu,yan","百读不厌"
"bai,e","白鹅,白垩"
"bai,e,ji","白垩纪"
"bai,e,luo,si","白俄罗斯"
"bai,er,ba,shi","百儿八十"
"bai,fa","白发"
"bai,fa,bai,zhong","百发百中"
"bai,fa,cang,cang","白发苍苍"
"bai,fan","白饭,白矾"
"bai,fang","摆放,拜访"
"bai,fei","白费"
"bai,fei,dai,ju","百废待举"
"bai,fei,dai,xing","百废待兴"
"bai,fei,ju,xing","百废俱兴"
"bai,fei,la","白费蜡"
"bai,fen","白粉"
"bai,fen,bi","百分比"
"bai,fen,biao","百分表"
"bai,fen,bing","白粉病"
"bai,fen,chi","百分尺"
"bai,fen,dian","百分点"
"bai,fen,hao","百分号"
"bai,fen,lv","百分率"
"bai,fen,shu","百分数"
"bai,fen,zhi","百分之,百分制"
"bai,fen,zhi,bai","百分之百"
"bai,fo","拜佛"
"bai,gan","白干,百感"
"bai,gan,cong,sheng","百感丛生"
"bai,gan,er","白干儿"
"bai,gan,jiao,ji","百感交集"
"bai,ge","白鸽"
"bai,ge,zheng,liu","百舸争流"
"bai,gei","白给"
"bai,gong","白宫"
"bai,gu","白骨"
"bai,gu,jing","白骨精"
"bai,guan","百官,白鹳"
"bai,guan,ye,shi","稗官野史"
"bai,guo","白果"
"bai,guo,shu","白果树"
"bai,he","百合,白鹤,拜贺,捭阖"
"bai,hou","白喉"
"bai,hu","白虎"
"bai,hua","白桦,白花,白话,白化"
"bai,hua,bing","白化病"
"bai,hua,hua","白花花"
"bai,hua,jiang","百花奖"
"bai,hua,qi,fang","百花齐放"
"bai,hua,she","白花蛇"
"bai,hua,shi","白话诗"
"bai,hua,wen","白话文"
"bai,hua,wen,xue","白话文学"
"bai,hua,yuan","百花园"
"bai,hua,zheng,yan","百花争艳,百花争妍"
"bai,huai","败坏"
"bai,huang,huang","白晃晃"
"bai,hui","拜会,白灰"
"bai,huo","百货,败火"
"bai,huo,da,lou","百货大楼"
"bai,huo,dian","百货店"
"bai,huo,gong,si","百货公司"
"bai,huo,jiao","拜火教"
"bai,huo,shang,dian","百货商店"
"bai,ji","百计,败绩,白芨"
"bai,ji,tun","白暨豚"
"bai,jia","败家"
"bai,jia,fan","百家饭"
"bai,jia,xing","百家姓"
"bai,jia,zheng,ming","百家争鸣"
"bai,jia,zi","摆架子,败家子"
"bai,jian","拜见,摆件"
"bai,jiang","败将"
"bai,jiang,can","白僵蚕"
"bai,jiang,jun","白僵菌"
"bai,jie","拜节"
"bai,jin","拜金,白金"
"bai,jin,han,gong","白金汉宫"
"bai,jin,zhu,yi","拜金主义"
"bai,jing","白净"
"bai,jing,jing","白晶晶,白净净"
"bai,jiu","白酒"
"bai,ju","败局"
"bai,ju,guo,xi","白驹过隙"
"bai,ju,yi","白居易"
"bai,juan","白卷"
"bai,jun","败军"
"bai,jun,zhi,jiang","败军之将"
"bai,kai","摆开,掰开"
"bai,kai,shui","白开水"
"bai,ke","百科,拜客"
"bai,ke,ci,dian","百科辞典"
"bai,ke,quan,shu","百科全书"
"bai,kong,qian,chuang","百孔千疮"
"bai,kou,mo,bian","百口莫辩"
"bai,kou,tie","白口铁"
"bai,kuo","摆阔"
"bai,la","白蜡"
"bai,la,chong","白蜡虫"
"bai,la,shu","白蜡树"
"bai,lan","白兰"
"bai,lan,di","白兰地"
"bai,lan,hua","白兰花"
"bai,lang,tao,tao","白浪滔滔"
"bai,lei","败类"
"bai,lei,tai","摆擂台"
"bai,li","百里,白痢,白梨"
"bai,li,tiao,yi","百里挑一"
"bai,lian","白脸,白练,白鲢"
"bai,lian,cheng,gang","百炼成钢"
"bai,lian,jiao","白莲教"
"bai,liang","白亮"
"bai,liang,liang","白亮亮"
"bai,lie","摆列"
"bai,lin","白磷"
"bai,lin,yu","白鳞鱼"
"bai,ling","白领,百灵,白蛉"
"bai,ling,gong,ren","白领工人"
"bai,ling,jie,ceng","白领阶层"
"bai,ling,niao","百灵鸟"
"bai,long,men,zhen","摆龙门阵"
"bai,lu","败露,白鹭,白露"
"bai,lun","摆轮"
"bai,luo","败落"
"bai,ma,fei,ma","白马非马"
"bai,ma,wang,zi","白马王子"
"bai,mai","摆卖"
"bai,mang","百忙"
"bai,mang,mang","白茫茫"
"bai,mao","白茅"
"bai,men,mian","摆门面"
"bai,meng","拜盟"
"bai,meng,meng","白蒙蒙"
"bai,mi","白米"
"bai,mi,fan","白米饭"
"bai,mian","白面"
"bai,mian,er","白面儿"
"bai,mian,mo","白面馍"
